"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "gene.name"
"FBgn0034643" 1.29337094912423 5.6705665674839 25.1275927212065 2.85386303571135e-38 4.05118830023933e-36 76.9002472310282 "CG10321"
"FBgn0039290" 3.29611560324749 4.88880612674156 25.0555859180933 3.4602608656345e-38 4.76752706619554e-36 76.7228689613094 "CG13654"
"FBgn0024980" 1.40736322753133 6.09450280393882 25.0574836159054 3.44271585876641e-38 4.76752706619554e-36 76.7167352126901 "Syx4"
"FBgn0005642" 1.27287271589403 5.06463013122091 24.6227184179744 1.11212931637784e-37 1.51007819784695e-35 75.5389897028168 "wdn"
"FBgn0250869" 3.72677166212046 6.96385518853978 24.6098951341163 1.1515490484913e-37 1.54126614790215e-35 75.5208212395717 "CG42240"
"FBgn0030318" 1.42736453566504 6.56674681239729 24.5205645779721 1.46836438263639e-37 1.9376205494254e-35 75.2703455468174 "rho-4"
"FBgn0003138" 1.76590071554243 6.09157755467595 24.4062063813879 2.00630422183981e-37 2.61070336866906e-35 74.9550316304673 "Ptp61F"
"FBgn0038809" -1.46705326348911 6.48853414756557 -24.3965984292737 2.05972306129818e-37 2.643499364562e-35 74.9303005699151 "CG16953"
"FBgn0039635" -1.24601267035852 6.72174289775138 -24.3304206145624 2.46892652011358e-37 3.12586115769515e-35 74.7516637672209 "CG11876"
"FBgn0039141" 1.68880884660632 5.54709590292495 24.2422737048829 3.1447960741255e-37 3.92847925579757e-35 74.5021431402955 "spas"
"FBgn0038747" 1.60912192718083 6.32076663302421 24.2295341561639 3.25690051458271e-37 4.01498696330597e-35 74.4714499672574 "RhoGAP92B"
"FBgn0250906" -1.46835769389871 6.68633883059644 -24.2179224774306 3.362599511389e-37 4.09145387301345e-35 74.4430000860182 "Pgk"
"FBgn0051357" -1.3097138482567 4.2022733701066 -24.2004574518308 3.52815455762125e-37 4.23785641671199e-35 74.3899836352867 "CG31357"
"FBgn0000636" 1.65765763993027 5.7716247960826 24.1286400303775 4.30030898323043e-37 5.09994871694758e-35 74.1898480963284 "Fas3"
"FBgn0030685" 1.33343564847561 7.13613731943904 24.0716985197805 5.03256135247593e-37 5.82099596436383e-35 74.0440988632847 "Graf"
"FBgn0030268" 1.8609484454672 6.00817903388982 24.0723608638642 5.02335668401733e-37 5.82099596436383e-35 74.0372443387482 "Klp10A"
"FBgn0034758" 1.91575387060556 9.1454565960001 24.0641264088824 5.1390123284e-37 5.87163493960727e-35 74.0335121528624 "CG13510"
"FBgn0038738" -1.52221513187056 6.53603729155666 -23.9962775839265 6.20059593963636e-37 6.99920281427146e-35 73.8284145501826 "CG4572"
"FBgn0031590" -1.84281909530788 6.58733451716563 -23.982475670817 6.44236077634377e-37 7.18553310875771e-35 73.7914647718396 "CG3702"
"FBgn0046302" 1.46616512366404 10.1985814146958 23.9607259121398 6.8428569399821e-37 7.54243843184615e-35 73.7454197273662 "CG10650"
"FBgn0260243" 1.19162842559117 4.02838377410888 23.8810552097636 8.53766119008191e-37 9.30108694068342e-35 73.5197104379285 "E(var)3-9"
